Day-time,Total Adaptation Trials (since plugging in),Evaluation trials,Target Size,Center-Reset,Success Rate (%),Median Time to Target (s)
20190514-135927,64,16,50,0,69,11.1
20190514-140808,64,24,50,1,92,6.3
20190514-141731,64,24,50,1,92,11.2
20190514-142704,64,24,50,1,67,8.1
20190515-112302,48,24,50,0,54,15.6
20190515-113447,48,16,50,0,56,10.9
20190521-135943,64,32,50,0,94,11.3
20190524-111731,40,16,50,0,88,7.3
20190524-112353,40,48,50,0,79,6.7
20190524-134653,32,33,50,0,76,7.0
20190524-135957,32,32,50,1,75,7.3
20190529-111528,32,32,50,0,97,6.8
20190529-114050,48,32,50,0,81,10.9
20190529-135644,48,20,50,0,55,22.4
20190531-105048,32,24,50,0,92,10.1
20190531-110703,32,24,50,0,96,8.7
20190531-112444,48,24,50,0,100,6.4
20190531-133517,24,24,50,0,100,6.4
20190531-140204,48,24,30,0,100,7.0
20190531-141319,48,24,30,1,100,6.4
20190604-112454,16,32,30,0,94,5.9
20190604-114636,16,48,30,0,98,7.6
20190604-143109,8,32,30,1,97,6.6
20190607-105615,24,24,30,0,100,7.1
20190607-135050,24,24,30,0,79,7.7
20190607-140828,40,24,30,1,100,4.9
20190610-105809,32,24,30,0,100,7.5
20190610-110746,32,48,30,1,96,5.9
20190610-132416,32,24,30,0,96,7.0
20190610-133734,32,48,30,1,98,5.6
